127.0.0.1, 2014-05-27 11:21:08, GET, /, HTTP/1.1, 303, 0.001308
127.0.0.1, 2014-05-27 11:21:13, GET, /welcome/default/index, HTTP/1.1, 500, 5.689419
127.0.0.1, 2014-05-27 11:21:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
127.0.0.1, 2014-05-27 11:21:17, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.155143
127.0.0.1, 2014-05-27 11:21:17, GET, /admin/default/index, HTTP/1.1, 500, 0.114343
127.0.0.1, 2014-05-27 11:21:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000473
127.0.0.1, 2014-05-27 11:21:20, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.007380
127.0.0.1, 2014-05-27 11:21:20, GET, /admin/default/index, HTTP/1.1, 500, 0.079553
127.0.0.1, 2014-05-27 11:21:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000511
127.0.0.1, 2014-05-27 16:09:41, GET, /, HTTP/1.1, 303, 0.001413
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/default/index, HTTP/1.1, 200, 1.699109
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000570
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001265
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001946
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002534
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001377
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001391
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001239
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002469
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003894
127.0.0.1, 2014-05-27 16:09:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000688
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/default/index, HTTP/1.1, 200, 0.107814
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.001937
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002574
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001105
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.004023
127.0.0.1, 2014-05-27 16:09:49, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.001762
